GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
folio-impl,default,FolioServiceImpl,191,61,8,0,29,13,12,5,8,5
folio-impl,default,FolioModule,0,15,0,0,0,3,0,2,0,2
folio-impl,default,FolioEntity,7,127,0,0,1,24,1,11,1,11
folio-impl,events,FolioEvent.FolioCreated,65,54,14,6,0,5,12,5,2,5
folio-impl,events,FolioEvent.FolioUpdated.FolioUpdatedBuilder,17,21,0,0,0,1,1,4,1,4
folio-impl,events,FolioEvent,0,2,0,0,0,1,0,1,0,1
folio-impl,events,FolioEventProcessor,270,100,0,0,38,31,3,13,3,13
folio-impl,events,FolioEventTag,3,4,0,0,1,1,1,1,1,1
folio-impl,events,FolioEvent.FolioCreated.FolioCreatedBuilder,17,21,0,0,0,1,1,4,1,4
folio-impl,events,FolioEvent.FolioDeleted,65,54,14,6,0,5,12,5,2,5
folio-impl,events,FolioEvent.FolioUpdated,65,54,14,6,0,5,12,5,2,5
folio-impl,events,FolioEvent.FolioDeleted.FolioDeletedBuilder,17,21,0,0,0,1,1,4,1,4
folio-impl,commands,FolioCommand.CreateFolio.CreateFolioBuilder,12,14,0,0,0,1,1,3,1,3
folio-impl,commands,FolioCommand.DeleteFolio.DeleteFolioBuilder,12,14,0,0,0,1,1,3,1,3
folio-impl,commands,FolioCommand.CreateFolio,41,36,8,4,0,4,8,4,2,4
folio-impl,commands,FolioCommand.UpdateFolio.UpdateFolioBuilder,12,14,0,0,0,1,1,3,1,3
folio-impl,commands,FolioCommand.DeleteFolio,41,36,8,4,0,4,8,4,2,4
folio-impl,commands,FolioCommand.FolioCurrentState,3,0,0,0,1,0,1,0,1,0
folio-impl,commands,FolioCommand.UpdateFolio,41,36,8,4,0,4,8,4,2,4
folio-impl,states,FolioStates,65,54,14,6,0,5,12,5,2,5
folio-impl,states,FolioStates.FolioStatesBuilder,17,21,0,0,0,1,1,4,1,4
